slice_id,policy_id,policy_label,target_id,target_label,sampler,updater,feedback_mode,max_rounds,baseline_score,final_best_score,delta_baseline_to_final,baseline_image_path,first_round_best_image_path,final_best_image_path,target_path,trace_report
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,random_local,linear_preference,winner_only,5,0.799595,0.85089,0.051295,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_157dd67f8aea.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_157dd67f8aea.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_121514c6e16e.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Mountain%20lake.jpg,runs\sampler_slice\random_local\mountain_lake\trace_report.html
sampler_slice,exploit_orthogonal,Exploit orthogonal,mountain_lake,Mountain lake landscape,exploit_orthogonal,linear_preference,winner_only,5,0.818948,0.828909,0.009961,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\exploit_orthogonal\mountain_lake\runtime\artifacts\cand_3561558405e2.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\exploit_orthogonal\mountain_lake\runtime\artifacts\cand_af4c15fec7dc.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\exploit_orthogonal\mountain_lake\runtime\artifacts\cand_5f1c2ef8ab5b.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Mountain%20lake.jpg,runs\sampler_slice\exploit_orthogonal\mountain_lake\trace_report.html
sampler_slice,diversity_shell,Diversity shell,mountain_lake,Mountain lake landscape,diversity_shell,linear_preference,winner_only,5,0.807141,0.849668,0.042528,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_5e341879baa7.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_3e593a4165a8.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_e02fdb509809.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Mountain%20lake.jpg,runs\sampler_slice\diversity_shell\mountain_lake\trace_report.html
sampler_slice,line_search,Line search,mountain_lake,Mountain lake landscape,line_search,linear_preference,winner_only,5,0.793645,0.857305,0.06366,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\line_search\mountain_lake\runtime\artifacts\cand_af15281131f8.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\line_search\mountain_lake\runtime\artifacts\cand_d38322f65fc1.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\line_search\mountain_lake\runtime\artifacts\cand_04eaeed678c6.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Mountain%20lake.jpg,runs\sampler_slice\line_search\mountain_lake\trace_report.html
feedback_slice,winner_average_winner_only,Winner average + winner only,mountain_lake,Mountain lake landscape,exploit_orthogonal,winner_average,winner_only,5,0.752595,0.858373,0.105778,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\winner_average_winner_only\mountain_lake\runtime\artifacts\cand_fd1e21721ac2.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\winner_average_winner_only\mountain_lake\runtime\artifacts\cand_111ca9446aad.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\winner_average_winner_only\mountain_lake\runtime\artifacts\cand_111ca9446aad.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Mountain%20lake.jpg,runs\feedback_slice\winner_average_winner_only\mountain_lake\trace_report.html
feedback_slice,linear_winner_only,Linear preference + winner only,mountain_lake,Mountain lake landscape,exploit_orthogonal,linear_preference,winner_only,5,0.798201,0.854379,0.056178,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\linear_winner_only\mountain_lake\runtime\artifacts\cand_73766e4d682b.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\linear_winner_only\mountain_lake\runtime\artifacts\cand_73766e4d682b.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\linear_winner_only\mountain_lake\runtime\artifacts\cand_c910e0af9061.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Mountain%20lake.jpg,runs\feedback_slice\linear_winner_only\mountain_lake\trace_report.html
feedback_slice,score_weighted_scalar,Score-weighted + scalar ratings,mountain_lake,Mountain lake landscape,exploit_orthogonal,score_weighted_preference,scalar_rating,5,0.815325,0.857129,0.041804,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\score_weighted_scalar\mountain_lake\runtime\artifacts\cand_6e06f92dfad6.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\score_weighted_scalar\mountain_lake\runtime\artifacts\cand_709f96030007.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\score_weighted_scalar\mountain_lake\runtime\artifacts\cand_9bc6d2155e02.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Mountain%20lake.jpg,runs\feedback_slice\score_weighted_scalar\mountain_lake\trace_report.html
feedback_slice,contrastive_top_k,Contrastive + top-k ranking,mountain_lake,Mountain lake landscape,exploit_orthogonal,contrastive_preference,top_k,5,0.812759,0.834495,0.021736,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\contrastive_top_k\mountain_lake\runtime\artifacts\cand_700155ea359c.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\contrastive_top_k\mountain_lake\runtime\artifacts\cand_1d4fd59a5684.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\feedback_slice\contrastive_top_k\mountain_lake\runtime\artifacts\cand_331d949ab4eb.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Mountain%20lake.jpg,runs\feedback_slice\contrastive_top_k\mountain_lake\trace_report.html
sampler_slice,random_local,Random local,cat_portrait_bw,Black-and-white cat portrait,random_local,linear_preference,winner_only,5,0.839868,0.871319,0.031452,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\cat_portrait_bw\runtime\artifacts\cand_ba85839581b4.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\cat_portrait_bw\runtime\artifacts\cand_7e36be2ef2da.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\cat_portrait_bw\runtime\artifacts\cand_05d6c56330e5.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Cat_portrait_B%26W.JPG,runs\sampler_slice\random_local\cat_portrait_bw\trace_report.html
sampler_slice,exploit_orthogonal,Exploit orthogonal,cat_portrait_bw,Black-and-white cat portrait,exploit_orthogonal,linear_preference,winner_only,5,0.825485,0.865046,0.039561,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\exploit_orthogonal\cat_portrait_bw\runtime\artifacts\cand_09aef9b3e8ad.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\exploit_orthogonal\cat_portrait_bw\runtime\artifacts\cand_1b06cbb1038d.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\exploit_orthogonal\cat_portrait_bw\runtime\artifacts\cand_1b06cbb1038d.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Cat_portrait_B%26W.JPG,runs\sampler_slice\exploit_orthogonal\cat_portrait_bw\trace_report.html
sampler_slice,diversity_shell,Diversity shell,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,linear_preference,winner_only,5,0.812058,0.891219,0.079161,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\diversity_shell\cat_portrait_bw\runtime\artifacts\cand_59cc3340d97c.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\diversity_shell\cat_portrait_bw\runtime\artifacts\cand_ddcc08c6edbb.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\diversity_shell\cat_portrait_bw\runtime\artifacts\cand_233f601987ee.png,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\targets\Cat_portrait_B%26W.JPG,runs\sampler_slice\diversity_shell\cat_portrait_bw\trace_report.html
