run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,round_id,round_index,candidate_id,candidate_index,sampler_role,seed,render_status,image_path,carried_forward,selected,z,generation_params,entropy,channel_stddev,brightness_mean,edge_mean,passed_checks,failed_checks
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_2f9fc6651bff,1,cand_34442fb14060,0,baseline_prompt,2854257466,succeeded,/artifacts/cand_34442fb14060.png,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""baseline_prompt"": true, ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3336554042, ""seed_group"": ""candidate:0"", ""seed_policy"": ""fixed-per-candidate"", ""steering_applied"": false, ""steering_mode"": ""low_dimensional""}",7.729,65.043,114.075,26.661,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_2f9fc6651bff,1,cand_c84cf2003654,1,exploit,4167616136,succeeded,/artifacts/cand_c84cf2003654.png,False,False,"[0.17658274040063276, 0.03486539238248773, 0.0041956335386783596, 0.04250360660097259, 0.02312843268146983]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 0.6, ""first_round_role_behavior"": ""keep_exploit_close"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3336554042, ""seed_group"": ""candidate:1"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.511,56.824,104.764,16.698,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_2f9fc6651bff,1,cand_34a3353e75f7,2,refine,2120536683,succeeded,/artifacts/cand_34a3353e75f7.png,False,True,"[0.045905707065715375, -0.6135408790912359, -0.29377592733556407, 0.17659429347913266, -0.149567428845606]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.25, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.0, -0.8331, -0.4582, 0.2499, -0.1833], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3336554042, ""seed_group"": ""candidate:2"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.559,56.898,109.374,17.695,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_2f9fc6651bff,1,cand_a8ceb1e7a5a2,3,orthogonal,1266401477,succeeded,/artifacts/cand_a8ceb1e7a5a2.png,False,False,"[0.1312614581824092, 0.05706104454900707, 0.6083347973264193, 0.31413074241694416, -0.1707779781506028]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.35, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.1833, 0.0, 0.8331, 0.4582, -0.2499], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3336554042, ""seed_group"": ""candidate:3"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.731,74.466,120.231,31.59,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_2f9fc6651bff,1,cand_77a4abb26224,4,mirror,3844951019,succeeded,/artifacts/cand_77a4abb26224.png,False,False,"[-0.22328610090858425, -0.15374326955508708, 0.0331914791353468, -0.5801125307303716, 0.3275272532324064]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.45, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [-0.2499, -0.1833, 0.0, -0.8331, 0.4582], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3336554042, ""seed_group"": ""candidate:4"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.445,64.377,114.794,30.34,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_77fb10089547,2,cand_87cc663cb481,0,incumbent,2120536683,succeeded,/artifacts/cand_34a3353e75f7.png,True,False,"[0.045905707065715375, -0.6135408790912359, -0.29377592733556407, 0.17659429347913266, -0.149567428845606]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""carried_forward"": true, ""carried_forward_candidate_id"": ""cand_34a3353e75f7"", ""carried_forward_round_id"": ""rnd_2f9fc6651bff"", ""first_round_diversity_boost"": true, ""first_round_diversity_scale"": 1.25, ""first_round_min_radius"": 0.522, ""first_round_spread_direction"": [0.0, -0.8331, -0.4582, 0.2499, -0.1833], ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3336554042, ""seed_group"": ""carried_forward"", ""seed_policy"": ""fixed-per-candidate"", ""seed_preserved"": true, ""steering_mode"": ""low_dimensional""}",7.559,56.898,109.374,17.695,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_77fb10089547,2,cand_7476ecc322ae,1,exploit,2480881855,succeeded,/artifacts/cand_7476ecc322ae.png,False,False,"[0.1529069130684912, -0.4226758585024469, -0.22174275970029209, 0.18633490347327175, -0.12874023008830415]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3509370322, ""seed_group"": ""candidate:1"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.689,72.73,115.36,33.556,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_77fb10089547,2,cand_79f7fe226b51,2,refine,1197440374,succeeded,/artifacts/cand_79f7fe226b51.png,False,False,"[0.1452058751975734, -0.4717015784345542, -0.1636115528675145, 0.1277422686784845, -0.12580161871618045]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3509370322, ""seed_group"": ""candidate:2"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.566,68.226,112.395,25.271,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_77fb10089547,2,cand_8290dbb570d9,3,orthogonal,1534798124,succeeded,/artifacts/cand_8290dbb570d9.png,False,False,"[0.08812037362337187, -0.4413131318025491, -0.2185071738942569, 0.1606677906912382, -0.16253613580445653]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3509370322, ""seed_group"": ""candidate:3"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.663,63.224,131.096,23.371,5,[]
product_hero_shot__updater_winner_copy__r1,product_hero_shot__updater_winner_copy,r1,0,product_hero_shot,Product hero shot,updater_winner_copy,Updater: winner copy,ses_9cfb8409aec7,rnd_77fb10089547,2,cand_a2224df2d547,4,mirror,166519158,succeeded,/artifacts/cand_a2224df2d547.png,False,False,"[-0.08386941949821403, -0.5059814569420996, -0.13861585073911012, 0.11134621118863039, -0.0885231770870912]","{""anchor_strength"": 0.7, ""backend"": ""diffusers"", ""guidance_scale"": 7.0, ""image_size"": ""512x512"", ""model_source"": ""models\\runwayml--stable-diffusion-v1-5"", ""num_inference_steps"": 20, ""round_seed"": 3509370322, ""seed_group"": ""candidate:4"", ""seed_policy"": ""fixed-per-candidate"", ""steering_mode"": ""low_dimensional""}",7.939,70.818,121.389,34.408,5,[]
